                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                 1.4194,                 1.0516,                 1.1792,                0.54105,                0.40292,                0.43865,                  0.256,                 1.2876,                0.96652,                 1.1283,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.4202,                 1.0474,                 1.1791,                0.53968,                0.40568,                0.43941,                0.25714,                 1.2871,                0.96557,                 1.1281,               0.005347,               0.005347,               0.005347
                     96,                 1.4159,                 1.0447,                   1.18,                0.53568,                0.40545,                0.44068,                0.25791,                 1.2865,                0.96464,                 1.1277,              0.0052975,              0.0052975,              0.0052975
                     97,                  1.414,                 1.0437,                 1.1778,                0.54262,                0.40299,                0.44042,                0.25838,                 1.2864,                0.96412,                 1.1277,               0.005248,               0.005248,               0.005248
                     98,                 1.4153,                 1.0429,                 1.1778,                 0.5483,                0.40424,                0.44047,                0.25891,                 1.2861,                0.96407,                 1.1275,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.4138,                  1.041,                 1.1782,                 0.5444,                0.40431,                0.44048,                0.25949,                  1.286,                0.96304,                 1.1274,               0.005149,               0.005149,               0.005149
                    100,                  1.409,                 1.0381,                 1.1759,                0.54361,                0.40275,                0.44151,                0.26046,                 1.2857,                 0.9622,                 1.1271,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.4102,                 1.0365,                 1.1753,                0.54097,                0.40515,                0.44183,                0.26047,                 1.2855,                0.96156,                 1.1269,                0.00505,                0.00505,                0.00505
                    102,                 1.4105,                 1.0328,                 1.1741,                0.53864,                0.40623,                0.44194,                0.26073,                 1.2848,                0.96139,                 1.1265,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.4088,                 1.0333,                 1.1743,                0.54434,                0.40623,                0.44133,                0.26037,                 1.2845,                0.96072,                 1.1262,               0.004951,               0.004951,               0.004951
                    104,                 1.4058,                 1.0315,                 1.1731,                0.54464,                0.40521,                 0.4425,                0.26078,                 1.2844,                 0.9605,                 1.1263,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.4066,                 1.0295,                   1.17,                0.54662,                0.40434,                0.44218,                 0.2613,                 1.2841,                0.96021,                  1.126,               0.004852,               0.004852,               0.004852
                    106,                 1.4048,                 1.0273,                 1.1713,                0.54943,                0.40521,                0.44256,                0.26113,                 1.2838,                0.96002,                 1.1257,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.4001,                 1.0253,                 1.1693,                0.54538,                0.40831,                0.44279,                0.26142,                 1.2838,                 0.9596,                 1.1256,               0.004753,               0.004753,               0.004753
                    108,                 1.4069,                 1.0283,                 1.1703,                0.55277,                0.40138,                0.44351,                0.26164,                  1.284,                0.95944,                 1.1255,              0.0047035,              0.0047035,              0.0047035
                    109,                  1.408,                 1.0279,                 1.1722,                 0.5493,                0.40508,                0.44385,                0.26223,                 1.2837,                 0.9589,                 1.1254,               0.004654,               0.004654,               0.004654
                    110,                 1.4003,                 1.0203,                  1.167,                0.55539,                0.40324,                0.44562,                0.26296,                 1.2832,                0.95841,                  1.125,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.3999,                 1.0185,                 1.1691,                0.56078,                0.40382,                 0.4459,                0.26289,                 1.2829,                0.95778,                 1.1248,               0.004555,               0.004555,               0.004555
                    112,                  1.397,                 1.0201,                 1.1697,                0.56378,                0.40435,                0.44626,                0.26345,                 1.2827,                0.95742,                 1.1246,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.3946,                 1.0154,                 1.1671,                0.56655,                0.40548,                0.44669,                0.26359,                 1.2824,                0.95697,                 1.1242,               0.004456,               0.004456,               0.004456
                    114,                 1.4004,                 1.0175,                 1.1667,                 0.5815,                0.39914,                0.44673,                 0.2639,                 1.2824,                0.95674,                 1.1242,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.3941,                 1.0174,                  1.168,                0.57168,                0.40038,                0.44701,                0.26356,                 1.2821,                0.95634,                 1.1239,               0.004357,               0.004357,               0.004357
                    116,                 1.3943,                 1.0144,                 1.1671,                0.57685,                0.39525,                 0.4475,                0.26359,                 1.2821,                0.95614,                 1.1239,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.3914,                 1.0066,                 1.1657,                0.57264,                0.39716,                0.44757,                0.26392,                 1.2821,                0.95618,                 1.1238,               0.004258,               0.004258,               0.004258
                    118,                 1.3961,                 1.0124,                 1.1647,                0.56378,                0.40511,                0.44672,                0.26443,                 1.2821,                 0.9556,                 1.1237,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.3922,                 1.0064,                 1.1626,                0.55823,                0.40726,                0.44923,                0.26505,                 1.2818,                0.95553,                 1.1236,               0.004159,               0.004159,               0.004159
                    120,                 1.3906,                 1.0102,                 1.1632,                 0.5563,                0.40697,                0.44929,                0.26482,                 1.2821,                0.95515,                 1.1236,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.3862,                 1.0042,                 1.1609,                0.55234,                0.41019,                0.44968,                0.26564,                 1.2816,                0.95461,                 1.1235,                0.00406,                0.00406,                0.00406
                    122,                 1.3869,                 1.0044,                 1.1639,                0.55407,                0.40729,                0.44917,                 0.2655,                 1.2814,                0.95429,                 1.1234,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.3856,                 1.0067,                 1.1621,                0.55507,                0.40768,                 0.4498,                0.26611,                 1.2812,                0.95415,                 1.1234,               0.003961,               0.003961,               0.003961
                    124,                 1.3862,                 1.0004,                 1.1605,                0.55302,                0.40979,                0.44999,                0.26621,                 1.2814,                0.95393,                 1.1233,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.3806,                 1.0006,                 1.1571,                0.55338,                0.41244,                0.45013,                0.26619,                 1.2811,                0.95354,                 1.1232,               0.003862,               0.003862,               0.003862
                    126,                 1.3869,                 1.0037,                 1.1599,                0.56287,                0.41041,                0.45092,                 0.2664,                 1.2808,                0.95341,                  1.123,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.3848,                0.99898,                 1.1592,                0.56036,                0.41184,                0.45043,                0.26662,                 1.2807,                0.95299,                 1.1228,               0.003763,               0.003763,               0.003763
                    128,                 1.3787,                0.99564,                   1.16,                 0.5694,                0.40425,                0.45056,                0.26644,                 1.2804,                0.95278,                 1.1226,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.3819,                 0.9993,                 1.1603,                0.56761,                  0.404,                  0.451,                0.26675,                 1.2804,                0.95247,                 1.1225,               0.003664,               0.003664,               0.003664
                    130,                 1.3781,                0.99203,                 1.1554,                0.56344,                0.40725,                0.45103,                0.26675,                 1.2801,                0.95202,                 1.1224,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.3768,                0.99007,                  1.156,                0.56698,                0.40568,                0.45105,                0.26655,                 1.2802,                0.95229,                 1.1224,               0.003565,               0.003565,               0.003565
                    132,                 1.3794,                0.99255,                 1.1557,                0.56801,                0.40528,                0.45087,                0.26664,                   1.28,                0.95185,                 1.1224,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.3766,                0.98982,                 1.1534,                0.55999,                0.40771,                0.45096,                0.26698,                   1.28,                0.95167,                 1.1224,               0.003466,               0.003466,               0.003466
                    134,                 1.3718,                0.98489,                 1.1511,                0.57828,                0.39831,                0.45106,                0.26637,                 1.2801,                0.95154,                 1.1223,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.3733,                0.98552,                 1.1537,                0.57551,                0.39735,                0.45082,                  0.266,                 1.2799,                0.95149,                 1.1221,               0.003367,               0.003367,               0.003367
                    136,                 1.3747,                0.98653,                 1.1542,                0.57745,                0.39613,                0.45096,                 0.2661,                 1.2802,                  0.952,                 1.1222,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.3712,                0.98292,                 1.1524,                0.58606,                0.39426,                0.45061,                0.26569,                 1.2804,                0.95235,                 1.1221,               0.003268,               0.003268,               0.003268
                    138,                 1.3709,                0.98223,                 1.1528,                0.58569,                0.39429,                0.45095,                0.26572,                 1.2803,                0.95221,                 1.1222,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.3688,                0.97886,                 1.1501,                0.58712,                0.39846,                0.45054,                 0.2655,                 1.2804,                0.95231,                 1.1222,               0.003169,               0.003169,               0.003169
                    140,                 1.3661,                0.98088,                 1.1492,                0.58548,                0.39802,                0.45033,                0.26534,                 1.2806,                0.95273,                 1.1221,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.3664,                0.97518,                 1.1492,                0.58678,                0.39981,                0.45003,                0.26485,                 1.2808,                0.95349,                 1.1221,                0.00307,                0.00307,                0.00307
                    142,                 1.3686,                0.98129,                 1.1513,                0.58643,                 0.3976,                0.44952,                0.26485,                 1.2806,                0.95345,                 1.1221,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.3661,                0.97436,                 1.1465,                0.58978,                0.39726,                0.45014,                0.26496,                 1.2807,                0.95372,                 1.1222,               0.002971,               0.002971,               0.002971
                    144,                 1.3651,                0.97493,                 1.1495,                0.58927,                0.40101,                0.45018,                0.26514,                 1.2805,                0.95359,                 1.1221,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.3652,                0.97402,                 1.1459,                0.59112,                0.39702,                0.45021,                0.26505,                   1.28,                 0.9535,                 1.1219,               0.002872,               0.002872,               0.002872
                    146,                 1.3671,                0.97204,                 1.1483,                 0.5953,                0.39748,                0.44985,                0.26472,                 1.2803,                0.95363,                 1.1219,              0.0028225,              0.0028225,              0.0028225
                    147,                 1.3669,                0.97678,                 1.1479,                0.59254,                0.39883,                0.44983,                0.26457,                 1.2805,                0.95406,                 1.1219,               0.002773,               0.002773,               0.002773
                    148,                 1.3628,                0.96979,                 1.1483,                0.59097,                0.40348,                0.45043,                0.26467,                 1.2803,                0.95417,                 1.1218,              0.0027235,              0.0027235,              0.0027235
                    149,                 1.3614,                0.97127,                 1.1467,                0.59253,                0.40225,                0.45062,                0.26504,                 1.2802,                0.95373,                 1.1217,               0.002674,               0.002674,               0.002674
                    150,                 1.3631,                0.96948,                 1.1452,                0.59373,                0.39837,                0.45049,                 0.2649,                 1.2801,                0.95396,                 1.1218,              0.0026245,              0.0026245,              0.0026245
                    151,                 1.3565,                0.96473,                 1.1437,                0.59563,                0.40337,                 0.4506,                0.26533,                 1.2799,                0.95347,                 1.1215,               0.002575,               0.002575,               0.002575
