                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.69019,                0.42444,                0.86496,                0.52915,                0.40634,                0.42293,                0.23879,                 1.2293,                0.77283,                 1.0341,               0.005545,               0.005545,               0.005545
                     92,                0.68908,                0.42216,                0.86429,                0.52819,                 0.4136,                0.42245,                0.23863,                 1.2292,                0.77259,                 1.0339,              0.0054955,              0.0054955,              0.0054955
                     93,                0.68142,                0.41966,                0.86346,                0.52859,                 0.4148,                0.42269,                0.23857,                 1.2285,                0.77209,                 1.0336,               0.005446,               0.005446,               0.005446
                     94,                0.68505,                0.41956,                0.86249,                 0.5328,                0.41086,                0.42403,                0.23958,                 1.2283,                0.77163,                 1.0331,              0.0053965,              0.0053965,              0.0053965
                     95,                0.68259,                 0.4187,                0.86231,                0.53344,                0.40959,                0.42466,                0.23987,                 1.2277,                0.77122,                 1.0327,               0.005347,               0.005347,               0.005347
                     96,                0.67937,                0.41683,                0.86214,                0.52442,                0.41284,                0.42576,                0.24038,                 1.2273,                0.77077,                 1.0322,              0.0052975,              0.0052975,              0.0052975
                     97,                0.67622,                0.41473,                0.86124,                0.53959,                 0.4082,                0.42574,                0.24044,                 1.2268,                0.77034,                 1.0316,               0.005248,               0.005248,               0.005248
                     98,                 0.6739,                0.41417,                0.86089,                0.54045,                0.40735,                0.42588,                0.24087,                 1.2263,                0.76974,                 1.0314,              0.0051985,              0.0051985,              0.0051985
                     99,                0.67104,                0.41194,                0.86083,                0.53419,                0.40984,                0.42622,                 0.2412,                 1.2259,                0.76888,                  1.031,               0.005149,               0.005149,               0.005149
                    100,                0.67296,                0.41258,                0.86176,                0.53623,                0.40777,                0.42652,                0.24125,                 1.2259,                0.76788,                  1.031,              0.0050995,              0.0050995,              0.0050995
                    101,                 0.6701,                0.41117,                0.86052,                0.53476,                0.40693,                0.42665,                0.24038,                 1.2255,                0.76785,                 1.0309,                0.00505,                0.00505,                0.00505
                    102,                  0.669,                0.41023,                0.85952,                0.53636,                0.40222,                0.42629,                0.24051,                 1.2253,                0.76748,                 1.0308,              0.0050005,              0.0050005,              0.0050005
