                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                 1.2869,                0.85498,                 1.0077,                0.54526,                0.39211,                0.43455,                0.25372,                  1.168,                0.80569,                0.97366,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.2851,                0.85055,                 1.0057,                0.54921,                0.39022,                0.43416,                0.25408,                 1.1672,                0.80546,                0.97337,               0.005347,               0.005347,               0.005347
                     96,                 1.2798,                0.85017,                 1.0063,                0.53019,                0.40066,                0.43435,                0.25429,                 1.1664,                0.80471,                0.97312,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.2785,                0.84735,                 1.0061,                0.53499,                0.40083,                0.43463,                0.25386,                 1.1661,                0.80448,                0.97294,               0.005248,               0.005248,               0.005248
                     98,                 1.2811,                 0.8453,                 1.0057,                0.53599,                 0.4011,                0.43485,                0.25378,                 1.1656,                0.80407,                 0.9728,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.2782,                0.84952,                 1.0069,                0.54385,                0.39434,                0.43461,                0.25403,                  1.165,                0.80383,                0.97255,               0.005149,               0.005149,               0.005149
                    100,                 1.2771,                0.84543,                 1.0058,                0.56167,                0.38866,                0.43489,                0.25478,                 1.1644,                0.80319,                0.97242,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.2707,                0.84263,                  1.003,                0.56218,                0.38753,                0.43468,                0.25444,                 1.1638,                0.80276,                 0.9723,                0.00505,                0.00505,                0.00505
                    102,                 1.2735,                0.84307,                 1.0032,                 0.5572,                0.38841,                0.43556,                0.25497,                 1.1637,                0.80258,                0.97223,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.2718,                0.83808,                 1.0032,                0.55788,                0.39046,                0.43539,                0.25536,                 1.1637,                 0.8022,                0.97237,               0.004951,               0.004951,               0.004951
                    104,                 1.2729,                0.84009,                 1.0047,                0.56016,                0.39198,                0.43635,                0.25569,                 1.1632,                 0.8016,                0.97212,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.2705,                0.83797,                 1.0018,                0.56339,                0.38919,                0.43662,                0.25534,                 1.1629,                0.80088,                0.97211,               0.004852,               0.004852,               0.004852
                    106,                 1.2736,                0.83946,                 1.0018,                0.56841,                 0.3882,                 0.4372,                 0.2559,                 1.1624,                0.80028,                0.97193,              0.0048025,              0.0048025,              0.0048025
